GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
japicmp-maven-plugin,japicmp.maven,MavenParameters,0,45,0,0,0,16,0,8,0,8
japicmp-maven-plugin,japicmp.maven,PluginParameters,4,89,1,1,0,30,1,15,0,15
japicmp-maven-plugin,japicmp.maven,ConfigParameters.OverrideCompatibilityChangeParameter,15,0,0,0,5,0,5,0,5,0
japicmp-maven-plugin,japicmp.maven,JApiCmpProcessor.new IncompatibleErrorOutput() {...},0,16,0,0,0,3,0,2,0,2
japicmp-maven-plugin,japicmp.maven,ConfigParameters,105,174,0,0,51,69,27,53,27,53
japicmp-maven-plugin,japicmp.maven,JApiCmpMojo,0,91,0,0,0,8,0,2,0,2
japicmp-maven-plugin,japicmp.maven,ConfigurationFile,10,0,0,0,4,0,3,0,3,0
japicmp-maven-plugin,japicmp.maven,PostAnalysisScriptExecutor,35,134,1,11,5,33,1,8,0,3
japicmp-maven-plugin,japicmp.maven,Version,3,15,0,0,1,7,1,3,1,3
japicmp-maven-plugin,japicmp.maven,SkipReport,0,46,0,0,0,20,0,10,0,10
japicmp-maven-plugin,japicmp.maven,JApiCmpProcessor,1182,1644,176,138,222,357,124,81,2,46
japicmp-maven-plugin,japicmp.maven,BreakBuild,0,56,0,0,0,24,0,12,0,12
japicmp-maven-plugin,japicmp.maven,Dependency,19,92,0,0,9,16,5,11,5,11
japicmp-maven-plugin,japicmp.maven,JApiCmpProcessor.ConfigurationVersion,0,15,0,0,0,2,0,1,0,1
japicmp-maven-plugin,japicmp.maven,SkipModuleStrategy,14,140,10,24,3,40,8,11,0,2
japicmp-maven-plugin,japicmp.maven,JApiCmpReport,38,222,11,9,11,49,8,11,2,7
